"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"DFRCPUS","198702","656.439","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198703","635.367","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198704","504.854","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198705","440.251","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198706","426.502","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198707","429.212","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198708","393.2","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198709","474.785","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198710","577.458","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198711","597.156","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198712","704.061","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198713","543.534","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198801","759.792","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198802","744.628","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198803","673.617","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198804","498.831","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198805","451.534","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198806","416.426","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198807","451.534","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198808","472.59","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198809","473.9","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198810","523.732","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198811","572.539","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198812","662.638","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198813","558.207","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198901","691.428","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198902","636.219","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198903","642.947","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198904","486.364","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198905","428.523","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198906","442.845","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198907","394.788","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198908","489.736","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198909","490.08","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198910","503.115","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198911","578.716","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198912","765.624","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","198913","545.631","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","199001","522.37","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","199002","531.656","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","199003","455.562","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","199004","421.22","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
"DFRCPUS","199005","395.235","1","Distillate Fuel Oil Consumed by the Residential Sector","Thousand Barrels per Day"
